Title,original_title,budget,original_language,homepage,overview,runtime,revenue,release_date,vote_average,vote_count,genres,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
Fighting with My Family,Fighting with My Family,11000000,en,https://www.fightingwithmyfamily.movie/home,"Born into a tight-knit wrestling family, Paige and her brother Zak are ecstatic when they get the once-in-a-lifetime opportunity to try out for the WWE. But when only Paige earns a spot in the competitive training program, she must leave her loved ones behind and face this new cutthroat world alone. Paige's journey pushes her to dig deep and ultimately prove to the world that what makes her different is the very thing that can make her a star.",108,39055536,2019-02-14,6.864,1621,Comedy,English,"United Kingdom, United States of America",,,,,,,,,,,,,,,,
Sorry Angel,"Plaire, aimer et courir vite",0,fr,,Jacques is a writer living in Paris. He hasn't turned 40 but already mistrusts that the best in life is yet to come. Arthur is a student living in Brittany. He reads and smiles a lot and refuses to think that everything in life might not be possible. Jacques and Arthur will like each other. Just like in a lovely dream. Just like in a sad story.,132,1631910,2018-05-09,6.8,211,"Comedy, Drama, Romance","Français, Español",France,https://www.nytimes.com/2019/02/12/movies/sorry-angel-review.html,"Set in early 1990s Paris, Christophe Honoré’s new film presents us with a middle-aged, H.I.V.-stricken writer falling, wearily, for a bookish 20-something.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Sorry Angel (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Honore, Christophe', 'rank': 3, 'major': 'N'}]",2019-02-12T21:46:52+0000,491.0,"‘Sorry Angel’ Review: A Love Affair Two Men Start, Knowing the End",Critic’s Pick,,Attraction: That’s the Easy Part,,,,By Glenn Kenny,"[{'firstname': 'Glenn', 'middlename': None, 'lastname': 'Kenny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
"Berlin, I Love You","Berlin, I Love You",0,en,,An anthology feature of 10 stories of romance set in the German capital.,120,160000,2019-02-08,4.7,78,Drama,"English, Deutsch","Germany, United States of America",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Berlin, I Love You (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Agron, Dianna', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Knightley, Keira', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Luna, Diego', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Mirren, Helen', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Rourke, Mickey', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Wilson, Luke', 'rank': 8, 'major': 'N'}]",2019-02-07T12:00:01+0000,227.0,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",,,"Berlin, I Love You",,,,By Glenn Kenny,"[{'firstname': 'Glenn', 'middlename': None, 'lastname': 'Kenny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Untogether,Untogether,0,en,,"Once considered a teen prodigy, a recovering addict sobers up and tries to get her writing career back on track. She begins a relationship with a rising author known for his wartime memoirs.",98,0,2019-02-08,5.6,42,"Comedy, Drama",English,United States of America,https://www.nytimes.com/2019/02/07/movies/untogether-review.html,Jemima Kirke and Lola Kirke play damaged siblings in this exasperatingly affected romantic drama from Emma Forrest.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Dornan, Jamie', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Kirke, Jemima', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Kirke, Lola', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Untogether (Movie)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Forrest, Emma', 'rank': 6, 'major': 'N'}]",2019-02-07T12:00:01+0000,269.0,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",,,Untogether,,,,By Jeannette Catsoulis,"[{'firstname': 'Jeannette', 'middlename': None, 'lastname': 'Catsoulis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Cold War,Zimna wojna,4954500,pl,https://www.curzonartificialeye.com/cold-war,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other.",88,18754051,2018-06-08,7.45,1425,"Drama, Romance, War, Music","Deutsch, Hrvatski, Français, Italiano, Polski, Pусский","France, Poland, United Kingdom",https://www.nytimes.com/2018/12/20/movies/cold-war-review.html,"In post-World War II Poland, a singer and a piano player find each other, fall in love and soon end up on opposite sides of history.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Cold War (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Pawlikowski, Pawel', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Kot, Tomasz', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Kulesza, Agata', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Szyc, Borys', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Kulig, Joanna', 'rank': 7, 'major': 'N'}]",2018-12-20T17:09:56+0000,981.0,‘Cold War’ Review: Love Without Borders,Critic’s Pick,,A Resonating Love Shall Guide You,,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
If Beale Street Could Talk,If Beale Street Could Talk,12000000,en,http://www.bealestreet.movie,"After her fiance is falsely imprisoned, a pregnant African-American woman sets out to clear his name and prove his innocence.",120,20572691,2018-12-14,6.945,1084,"Romance, Drama",English,United States of America,https://www.nytimes.com/2018/12/12/movies/if-beale-street-could-talk-review.html,"The couple in this adaptation of James Baldwin’s novel are loving while black, an existential truth that is turned into a nightmare.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'If Beale Street Could Talk (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Jenkins, Barry', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Baldwin, James (1924-87)', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'James, Stephan (1993- )', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Layne, KiKi', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Wittrock, Finn', 'rank': 7, 'major': 'N'}]",2018-12-12T21:30:02+0000,1057.0,‘If Beale Street Could Talk’ Review: Trusting Love in a World Ruled by Hate,Critic’s Pick,,Love Is Forced to Live in a Nightmare,,,,By Manohla Dargis,"[{'firstname': 'Manohla', 'middlename': None, 'lastname': 'Dargis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Asher,Asher,0,en,,"Asher is a former Mossad agent turned gun for hire, living an austere life in an ever-changing Brooklyn. Approaching the end of his career, he breaks the oath he took as a young man when he meets Sophie on a hit gone wrong. In order to have love in his life before it's too late, he must kill the man he was, for a chance at becoming the man he wants to be.",117,0,2018-12-07,5.8,137,"Thriller, Action, Drama",English,United States of America,https://www.nytimes.com/2018/12/06/movies/asher-review.html,Ron Perlman and Famke Janssen star in this film that finds a hired killer dealing with his own mortality.,The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Asher (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Caton-Jones, Michael', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Perlman, Ron', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Janssen, Famke', 'rank': 5, 'major': 'N'}]",2018-12-06T12:00:04+0000,259.0,‘Asher’ Review: An Aging Hit Man Finds Love,,,Asher,,,,By Glenn Kenny,"[{'firstname': 'Glenn', 'middlename': None, 'lastname': 'Kenny', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
The Party's Just Beginning,The Party's Just Beginning,0,en,,"In a bleak Inverness midwinter, Luisaidh is careening off the rails after the suicide of her best friend. She medicates her misery with joyless sex, chips and a belief in the power of positive drinking. Surrounded by bittersweet memories, she struggles to find someone to talk to or some reason to make life worthwhile at the most stressful time of the year.",91,0,2018-12-07,6.2,51,"Drama, Comedy",English,"United Kingdom, United States of America",,,,,,,,,,,,,,,,
The Great Pretenders,千王,0,zh,,The Great Pretenders is a Hong Kong Comedy starring Tony Leung Chiu-Wai,95,0,1991-05-16,5.0,4,Comedy,广州话 / 廣州話,Hong Kong,,,,,,,,,,,,,,,,
Sicilian Ghost Story,Sicilian Ghost Story,0,it,,"In a little Sicilian village at the edge of a forest, Giuseppe, a boy of 13, vanishes. Luna, his classmate who loves him, refuses to accept his mysterious disappearance. She rebels against the silence and complicity that surround her, and to find him she descends into the dark world which has swallowed him up and which has a lake as its mysterious entrance.",122,0,2017-11-18,6.6,137,"Mystery, Drama, Fantasy",Italiano,"France, Italy, Switzerland",https://www.nytimes.com/2018/11/29/movies/sicilian-ghost-story-review.html,"Flipping from bucolic to brutal with distressing ease, this beautifully realized movie views a Mafia kidnapping through the prism of first love.",The New York Times,"[{'name': 'subject', 'value': 'Movies', 'rank': 1, 'major': 'N'}, {'name': 'creative_works', 'value': 'Sicilian Ghost Story (Movie)', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Grassadonia, Fabio', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Piazza, Antonio', 'rank': 4, 'major': 'N'}]",2018-11-29T12:00:06+0000,258.0,‘Sicilian Ghost Story’ Review: Fairy-Tale Love Meets Real-Life Crime,Critic’s Pick,,Love in an Enchanted Forest Turns Eerie,,,,By Jeannette Catsoulis,"[{'firstname': 'Jeannette', 'middlename': None, 'lastname': 'Catsoulis', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
